ID,Name,Prompt
1,Captain Wisp,"A cute cartoon ghost named Captain Wisp with a pirate style. Has an eyepatch, confident expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
2,Jolly Specter,"A cute cartoon ghost named Jolly Specter with a pirate style. Has a scarf, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
3,Treasure Puff,"A cute cartoon ghost named Treasure Puff with a pirate style. Has a backpack, excited expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
4,Plank Walker,"A cute cartoon ghost named Plank Walker with a pirate style. Has a top hat, mischievous expression, and stripes pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
5,Seafaring Glow,"A cute cartoon ghost named Seafaring Glow with a pirate style. Has a lantern, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
6,Arcane Puff,"A cute cartoon ghost named Arcane Puff with a wizard style. Has a wizard hat, curious expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
7,Mystic Whisper,"A cute cartoon ghost named Mystic Whisper with a wizard style. Has a wizard hat, confident expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
8,Spellbound Spirit,"A cute cartoon ghost named Spellbound Spirit with a wizard style. Has no accessory, determined expression, and swirls pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
9,Enchanted Drift,"A cute cartoon ghost named Enchanted Drift with a wizard style. Has no accessory, proud expression, and crystals pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
10,Potion Phantom,"A cute cartoon ghost named Potion Phantom with a wizard style. Has no accessory, excited expression, and clouds pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
11,Royal Gleam,"A cute cartoon ghost named Royal Gleam with a royal style. Has a crown, proud expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
12,Regal Glow,"A cute cartoon ghost named Regal Glow with a royal style. Has a crown, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
13,Majestic Wisp,"A cute cartoon ghost named Majestic Wisp with a royal style. Has a crown, confident expression, and stars pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
14,Noble Specter,"A cute cartoon ghost named Noble Specter with a royal style. Has a top hat, relaxed expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
15,Throne Spirit,"A cute cartoon ghost named Throne Spirit with a royal style. Has no accessory, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
16,Circuit Boo,"A cute cartoon ghost named Circuit Boo with a robot style. Has an antenna, excited expression, and gears pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
17,Metal Phantom,"A cute cartoon ghost named Metal Phantom with a robot style. Has an antenna, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
18,Cyber Glow,"A cute cartoon ghost named Cyber Glow with a robot style. Has headphones, curious expression, and lightning pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
19,Powered Wisp,"A cute cartoon ghost named Powered Wisp with a robot style. Has a backpack, happy expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
20,Spark Spirit,"A cute cartoon ghost named Spark Spirit with a robot style. Has no accessory, confident expression, and sparkles pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
21,Shadow Blade,"A cute cartoon ghost named Shadow Blade with a ninja style. Has a backpack, mischievous expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
22,Quickstep Puff,"A cute cartoon ghost named Quickstep Puff with a ninja style. Has no accessory, determined expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
23,Silent Phantom,"A cute cartoon ghost named Silent Phantom with a ninja style. Has a scarf, proud expression, and no pattern. Roblox-style collectible, centered, 256x256 PNG icon, transparent background, no text, no border."
